epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,3289.03,0.78667,0.39446,0.90646,0.9682,0.93295,0.96794,0.76614,0.65745,0.32137,0.88267,0.000929136,0.000929136,0.000929136
108,3320.02,0.79273,0.39716,0.88526,0.96897,0.93051,0.96426,0.75328,0.66358,0.32813,0.89212,0.00092442,0.00092442,0.00092442
109,3349.58,0.76596,0.39052,0.90051,0.98057,0.91414,0.96174,0.76331,0.66956,0.32242,0.891,0.000919704,0.000919704,0.000919704
110,3379.42,0.78157,0.39201,0.90206,0.97053,0.9219,0.95669,0.76288,0.65827,0.32939,0.89122,0.000914989,0.000914989,0.000914989
111,3409.65,0.77826,0.39305,0.89401,0.9634,0.92921,0.9533,0.75526,0.65917,0.33243,0.887,0.000910273,0.000910273,0.000910273
112,3439.97,0.75231,0.38408,0.89706,0.9677,0.91746,0.95747,0.76648,0.64777,0.31449,0.88667,0.000905557,0.000905557,0.000905557
113,3470.81,0.77202,0.39104,0.89669,0.98121,0.91542,0.95846,0.75776,0.65331,0.32027,0.88733,0.000900842,0.000900842,0.000900842
114,3500.98,0.7772,0.39,0.8892,0.98231,0.92205,0.95832,0.75699,0.64261,0.3166,0.88679,0.000896126,0.000896126,0.000896126
115,3531.3,0.76771,0.39558,0.89765,0.96572,0.93199,0.95757,0.7626,0.63672,0.32055,0.88243,0.00089141,0.00089141,0.00089141
116,3561.45,0.77319,0.3929,0.89413,0.96811,0.91599,0.95729,0.75736,0.64594,0.3196,0.88467,0.000886694,0.000886694,0.000886694
117,3591.44,0.74683,0.37937,0.89314,0.97278,0.91118,0.95513,0.76027,0.63474,0.32476,0.88295,0.000881979,0.000881979,0.000881979
118,3621.72,0.74243,0.38294,0.89501,0.96072,0.92971,0.96059,0.7618,0.64254,0.31853,0.88798,0.000877263,0.000877263,0.000877263
119,3652.46,0.74048,0.37704,0.88894,0.96606,0.91964,0.96565,0.76413,0.64579,0.31729,0.88708,0.000872547,0.000872547,0.000872547
120,3682.76,0.74326,0.38061,0.88985,0.97887,0.91243,0.95735,0.76951,0.62613,0.31995,0.8764,0.000867832,0.000867832,0.000867832
121,3715.12,0.75666,0.38499,0.88869,0.9741,0.93977,0.96021,0.76958,0.64258,0.32183,0.88525,0.000863116,0.000863116,0.000863116
122,3747.09,0.74119,0.38366,0.88907,0.97844,0.92349,0.96165,0.76663,0.62552,0.31569,0.87686,0.0008584,0.0008584,0.0008584
123,3776.9,0.73624,0.37335,0.89123,0.97736,0.92559,0.95793,0.76296,0.63553,0.31533,0.88274,0.000853685,0.000853685,0.000853685
124,3807.65,0.73852,0.37364,0.88738,0.96441,0.9177,0.96316,0.77585,0.61944,0.3233,0.8817,0.000848969,0.000848969,0.000848969
125,3840.28,0.73287,0.37467,0.88531,0.9725,0.91652,0.96463,0.76654,0.61758,0.3095,0.88007,0.000844253,0.000844253,0.000844253
126,3869.65,0.74224,0.37097,0.88376,0.96675,0.9299,0.96384,0.77668,0.62571,0.31377,0.87563,0.000839537,0.000839537,0.000839537
127,3901.32,0.74605,0.37724,0.8836,0.983,0.91879,0.96206,0.77438,0.60399,0.30464,0.8688,0.000834822,0.000834822,0.000834822
128,3931.06,0.7156,0.37253,0.87886,0.98451,0.91585,0.96118,0.77424,0.60556,0.30214,0.87683,0.000830106,0.000830106,0.000830106
129,3962.16,0.7111,0.36718,0.87913,0.97263,0.92948,0.95614,0.77454,0.61249,0.30606,0.87147,0.00082539,0.00082539,0.00082539
130,3993.55,0.72112,0.36918,0.87736,0.97982,0.93078,0.95948,0.77662,0.60802,0.30183,0.88092,0.000820675,0.000820675,0.000820675
131,4023.62,0.72877,0.37466,0.88276,0.96056,0.93502,0.96444,0.77428,0.62658,0.3086,0.88197,0.000815959,0.000815959,0.000815959
132,4053.4,0.70827,0.36426,0.87544,0.97223,0.9304,0.96173,0.77973,0.59939,0.29649,0.87139,0.000811243,0.000811243,0.000811243
133,4084.97,0.7008,0.36698,0.87325,0.97717,0.92431,0.96157,0.77676,0.60591,0.30542,0.8754,0.000806528,0.000806528,0.000806528
134,4116.29,0.72437,0.36999,0.88463,0.96212,0.93576,0.96458,0.77787,0.60105,0.30738,0.8722,0.000801812,0.000801812,0.000801812
135,4146.59,0.70826,0.36587,0.87941,0.98208,0.926,0.95846,0.77259,0.60777,0.30378,0.87565,0.000797096,0.000797096,0.000797096
136,4176.87,0.69194,0.36022,0.87905,0.98347,0.91868,0.95975,0.7765,0.60934,0.30654,0.87577,0.00079238,0.00079238,0.00079238
137,4207.63,0.70202,0.36806,0.88133,0.98706,0.91418,0.96202,0.77798,0.59301,0.30259,0.8682,0.000787665,0.000787665,0.000787665
138,4237.42,0.71224,0.36798,0.87118,0.95278,0.94094,0.95897,0.77596,0.59521,0.30033,0.87252,0.000782949,0.000782949,0.000782949
139,4268.28,0.6979,0.36062,0.87682,0.96588,0.93525,0.95949,0.78109,0.59249,0.29814,0.87051,0.000778233,0.000778233,0.000778233
140,4301.25,0.70563,0.37021,0.87543,0.97356,0.9209,0.95837,0.77564,0.5831,0.29686,0.86847,0.000773518,0.000773518,0.000773518
141,4332.66,0.69722,0.36164,0.87024,0.97634,0.91929,0.9628,0.77534,0.59666,0.29318,0.86975,0.000768802,0.000768802,0.000768802
142,4363.32,0.7037,0.36102,0.87652,0.97044,0.918,0.96864,0.78414,0.59271,0.29665,0.86981,0.000764086,0.000764086,0.000764086
143,4394.6,0.70537,0.36253,0.8729,0.98265,0.91983,0.97251,0.78561,0.581,0.29839,0.86784,0.000759371,0.000759371,0.000759371
144,4426.81,0.6775,0.35312,0.87372,0.98333,0.94267,0.97254,0.78982,0.57921,0.28921,0.86787,0.000754655,0.000754655,0.000754655
145,4459.23,0.67114,0.35387,0.87629,0.97965,0.92382,0.96256,0.7771,0.58453,0.29304,0.86956,0.000749939,0.000749939,0.000749939
146,4489.8,0.67386,0.34741,0.87314,0.97968,0.91956,0.95902,0.7863,0.57211,0.2941,0.86444,0.000745223,0.000745223,0.000745223
147,4520.2,0.70325,0.36285,0.87329,0.98137,0.91443,0.96081,0.78448,0.57647,0.29561,0.86627,0.000740508,0.000740508,0.000740508
148,4550.71,0.67027,0.35129,0.87,0.97642,0.92244,0.96636,0.79583,0.56462,0.28837,0.86089,0.000735792,0.000735792,0.000735792
149,4583.74,0.68458,0.3549,0.87176,0.97322,0.92321,0.96192,0.78696,0.57,0.28765,0.86569,0.000731076,0.000731076,0.000731076
150,4614.89,0.68851,0.35335,0.8707,0.96697,0.93421,0.96304,0.78828,0.58875,0.28868,0.87101,0.000726361,0.000726361,0.000726361
151,4645.4,0.67045,0.34451,0.8706,0.97252,0.92727,0.96146,0.79205,0.571,0.28684,0.86936,0.000721645,0.000721645,0.000721645
152,4676.08,0.68939,0.34957,0.87356,0.98657,0.92098,0.96292,0.79416,0.55953,0.28416,0.86209,0.000716929,0.000716929,0.000716929
153,4707.08,0.67036,0.35217,0.86765,0.97703,0.92402,0.96158,0.78947,0.57208,0.29083,0.86508,0.000712214,0.000712214,0.000712214
154,4738.49,0.65572,0.34279,0.86448,0.97916,0.93065,0.95817,0.79049,0.56133,0.28557,0.85841,0.000707498,0.000707498,0.000707498
155,4769.68,0.66256,0.34584,0.86225,0.97523,0.92406,0.96483,0.80011,0.56074,0.28683,0.86111,0.000702782,0.000702782,0.000702782
156,4801.81,0.66539,0.34253,0.86325,0.97551,0.9422,0.97034,0.80207,0.55153,0.27921,0.8596,0.000698066,0.000698066,0.000698066
157,4834.66,0.64597,0.33402,0.86439,0.97404,0.93171,0.96868,0.79312,0.55777,0.27991,0.86099,0.000693351,0.000693351,0.000693351
158,4865.76,0.66904,0.3472,0.87021,0.95858,0.93702,0.96156,0.7981,0.55151,0.28235,0.86042,0.000688635,0.000688635,0.000688635
159,4896.93,0.65668,0.33688,0.86731,0.96971,0.93564,0.96362,0.79819,0.55427,0.2807,0.86185,0.000683919,0.000683919,0.000683919
160,4928.4,0.65964,0.34409,0.8607,0.9758,0.936,0.96474,0.79949,0.54364,0.27749,0.86264,0.000679204,0.000679204,0.000679204
161,4960.19,0.66265,0.34252,0.86821,0.98542,0.92877,0.96645,0.79791,0.54159,0.27666,0.8586,0.000674488,0.000674488,0.000674488
162,4990.65,0.62903,0.32689,0.85475,0.9749,0.92617,0.96155,0.80371,0.54446,0.28264,0.85864,0.000669772,0.000669772,0.000669772
163,5023.81,0.63557,0.3345,0.85985,0.97542,0.929,0.96449,0.79628,0.54534,0.2738,0.85875,0.000665057,0.000665057,0.000665057
164,5055.01,0.63191,0.3317,0.86558,0.98283,0.93424,0.96475,0.79467,0.54266,0.27725,0.85673,0.000660341,0.000660341,0.000660341
165,5085.22,0.64599,0.33829,0.86033,0.98437,0.9244,0.96374,0.79917,0.54011,0.2765,0.85581,0.000655625,0.000655625,0.000655625
166,5116.19,0.65063,0.33645,0.85817,0.982,0.92326,0.96886,0.804,0.5313,0.27334,0.85319,0.000650909,0.000650909,0.000650909
167,5149.77,0.64403,0.33055,0.85834,0.98346,0.91859,0.96145,0.79973,0.53858,0.27175,0.85509,0.000646194,0.000646194,0.000646194
168,5179.62,0.66201,0.33836,0.86124,0.96538,0.94592,0.96665,0.79701,0.54835,0.27546,0.86123,0.000641478,0.000641478,0.000641478
169,5209.98,0.62857,0.32658,0.85721,0.98308,0.91708,0.96225,0.79468,0.53451,0.27643,0.85781,0.000636762,0.000636762,0.000636762
170,5240.13,0.62022,0.32639,0.85913,0.98236,0.93339,0.97036,0.79977,0.53265,0.2709,0.85717,0.000632047,0.000632047,0.000632047
171,5270.97,0.62839,0.33416,0.86141,0.97604,0.94184,0.96639,0.80255,0.53869,0.27712,0.85573,0.000627331,0.000627331,0.000627331
172,5302.48,0.64954,0.3382,0.86099,0.97107,0.93963,0.96654,0.80343,0.54234,0.27832,0.86277,0.000622615,0.000622615,0.000622615
173,5333.31,0.61418,0.32566,0.85738,0.97694,0.9147,0.96609,0.81151,0.53401,0.27694,0.8587,0.0006179,0.0006179,0.0006179
174,5366.04,0.64257,0.3303,0.8589,0.96978,0.93608,0.96927,0.80901,0.52377,0.271,0.85357,0.000613184,0.000613184,0.000613184
175,5395.54,0.62975,0.32727,0.8524,0.97084,0.92702,0.96728,0.8072,0.52066,0.27296,0.84958,0.000608468,0.000608468,0.000608468
176,5425.74,0.62058,0.33149,0.85809,0.98343,0.92587,0.96025,0.80468,0.52216,0.27188,0.85094,0.000603752,0.000603752,0.000603752
177,5456.44,0.62329,0.32409,0.85507,0.96978,0.92932,0.96064,0.79776,0.52552,0.27024,0.85146,0.000599037,0.000599037,0.000599037
178,5487.51,0.60845,0.3242,0.85204,0.9687,0.93477,0.96081,0.80414,0.51902,0.27329,0.84974,0.000594321,0.000594321,0.000594321
179,5518.15,0.62661,0.33253,0.85762,0.96573,0.9316,0.96082,0.80602,0.51708,0.27012,0.84842,0.000589605,0.000589605,0.000589605
180,5548.84,0.62678,0.32599,0.86042,0.97945,0.92493,0.96454,0.80773,0.51131,0.26212,0.84572,0.00058489,0.00058489,0.00058489
181,5578.62,0.6056,0.31728,0.84905,0.98541,0.93358,0.97106,0.8182,0.5151,0.2639,0.84933,0.000580174,0.000580174,0.000580174
